41,281,281,41
513,556,556,513
513,556,556,513
345,614,614,345
409,281,281,409
299,361,361,299
41,408,408,41
741,409,409,741
468,517,517,468
468,517,517,468
361,535,535,361
173,699,699,173
173,699,699,173
513,942,942,513
409,187,187,409
409,187,187,409
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
41,361,361,41
699,363,363,699
681,409,409,681
692,468,468,692
692,468,468,692
619,513,513,619
288,534,534,288
344,534,534,344
354,534,534,354
354,534,534,354
41,583,583,41
513,648,648,513
513,648,648,513
534,741,741,534
513,354,354,513
513,354,354,513
553,41,41,553
698,608,608,698
698,608,608,698
41,630,630,41
41,630,630,41
699,630,630,699
534,340,340,534
534,486,486,534
255,41,41,255
629,534,534,629
534,556,556,534
534,556,556,534
534,556,556,534
534,556,556,534
534,556,556,534
534,702,702,534
534,702,702,534
131,337,337,131
642,337,337,642
231,41,41,231
332,699,699,332
332,699,699,332
556,739,739,556
325,337,337,325
536,337,337,536
409,345,345,409
409,345,345,409
409,345,345,409
409,345,345,409
409,345,345,409
409,345,345,409
409,345,345,409
409,345,345,409
343,409,409,343
343,409,409,343
343,409,409,343
630,409,409,630
572,41,41,572
409,478,478,409
409,478,478,409
729,534,534,729
699,682,682,699
468,692,692,468
468,692,692,468
608,698,698,608
608,698,698,608
602,699,699,602
41,287,287,41
701,409,409,701
41,65,65,41
111,699,699,111
656,699,699,656
718,732,732,718
534,186,186,534
41,250,250,41
41,250,250,41
41,466,466,41
41,466,466,41
309,534,534,309
672,534,534,672
672,534,534,672
675,534,534,675
41,545,545,41
41,617,617,41
534,260,260,534
515,337,337,515
446,345,345,446
534,388,388,534
249,41,41,249
547,41,41,547
547,41,41,547
547,41,41,547
547,41,41,547
547,41,41,547
699,589,589,699
41,677,677,41
699,223,223,699
534,326,326,534
976,409,409,976
287,41,41,287
672,41,41,672
672,41,41,672
41,488,488,41
41,488,488,41
361,516,516,361
